Name,player,CF% rel,FF% rel,TK,GV,E+/-
Alex Chiasson\\chiasal01,Alex Chiasson,2.8,0.6,14,20,-0.5
Andrei Chibisov\\chibian01,Andrei Chibisov,-17.4,-10.8,0,0,-0.2
Filip Chlapik\\chlapfi01,Filip Chlapik,4.8,6.6,8,6,-0.9
Dennis Cholowski\\cholode01,Dennis Cholowski,0.6,0.4,4,21,-1.9
Jakob Chychrun\\chychja01,Jakob Chychrun,3,4.2,27,52,1.7
Filip Chytil\\chytifi01,Filip Chytil,0.6,-0.2,33,33,-1.7
Anthony Cirelli\\cirelan01,Anthony Cirelli,0.8,1.4,53,24,9.9
Casey Cizikas\\cizikca01,Casey Cizikas,-0.4,0.1,38,28,3.3
Fredrik Claesson\\claesfr01,Fredrik Claesson,-1.5,1,1,1,1.4
Kale Clague\\claguka01,Kale Clague,-11.3,-7.3,0,1,-0.9
Kyle Clifford\\cliffky01,Kyle Clifford,-0.2,-0.2,11,17,2.4
Connor Clifton\\cliftco01,Connor Clifton,-4.1,-5.7,12,7,-1.9
Cal Clutterbuck\\cluttca01,Cal Clutterbuck,-6,-4.4,12,21,-1.6
Braydon Coburn\\coburbr01,Braydon Coburn,0.2,-1.4,3,5,0.8
Andrew Cogliano\\coglian01,Andrew Cogliano,0.5,-0.5,24,20,-2.2
Ian Cole\\coleia01,Ian Cole,0,2.4,18,37,6.1
Blake Coleman\\colembl01,Blake Coleman,2.5,2.7,48,21,-2.7
Blake Comeau\\comeabl01,Blake Comeau,-1,-3.1,21,27,-3.1
J.T. Compher\\comphj.01,J.T. Compher,-4.8,-4.7,22,21,0.7
Max Comtois\\comtoma01,Max Comtois,-6.2,-5.2,5,19,-3
Cory Conacher\\conacco01,Cory Conacher,-1.2,-1.9,5,1,-0.5
Kevin Connauton\\connake01,Kevin Connauton,-9.3,-10.3,0,0,0.3
Brett Connolly\\connobr01,Brett Connolly,3.5,3.9,28,22,-1.6
Kyle Connor\\connoky01,Kyle Connor,1,0.2,43,39,-8.5
Andrew Copp\\coppan01,Andrew Copp,2.2,1.2,38,27,-8.3
Nick Cousins\\cousini01,Nick Cousins,-0.6,0.5,29,21,8.8
Logan Couture\\coutulo01,Logan Couture,-0.9,-0.7,28,26,-3.6
Sean Couturier\\coutuse01,Sean Couturier,7.5,6.5,40,36,9.5
Charlie Coyle\\coylech01,Charlie Coyle,1,1.7,48,33,6.7
Sidney Crosby\\crosbsi01,Sidney Crosby,4.3,4,26,25,6.4
Lawson Crouse\\crousla01,Lawson Crouse,-3.2,-3.2,28,22,-5
Austin Czarnik\\czarnau01,Austin Czarnik,-5.5,-9.5,6,2,-0.8
Kirby Dach\\dachki01,Kirby Dach,-0.1,0.6,38,16,-1.1
Evgenii Dadonov\\dadonev01,Evgenii Dadonov,4.3,2.9,29,40,3.9
Rasmus Dahlin\\dahlira01,Rasmus Dahlin,4,2.1,16,42,-5.5
Carl Dahlstrom\\dahlsca01,Carl Dahlstrom,1.2,2,4,14,-0.3
Michael Dal Colle\\dalcomi01,Michael Dal Colle,-4.6,-6.9,10,18,-5.7
Trevor Daley\\daleytr01,Trevor Daley,-5.3,-4.6,5,21,-10.5
Phillip Danault\\danauph01,Phillip Danault,7,7.3,34,50,21.4
Marko Da\uc0\u328 o\\danoma01,Marko Da,-5.2,-3.8,1,1,0.4
Brandon Davidson\\davidbr01,Brandon Davidson,-0.6,1.7,3,9,-1.5
Jonathan Davidsson\\davidjo03,Jonathan Davidsson,6.8,11.1,0,0,0.2
Calvin de Haan\\dehaaca01,Calvin de Haan,-1.7,-0.2,9,29,-0.9
Jacob de La Rose\\delarja01,Jacob de La Rose,-3.6,-2.7,13,8,-0.3
Chase De Leo\\deleoch01,Chase De Leo,-31.8,-26.1,0,0,-0.5
Jean-Sebastien Dea\\deaje01,Jean-Sebastien Dea,-7.1,-12.7,0,0,-0.1
Anthony DeAngelo\\deangan01,Anthony DeAngelo,3,2.9,16,65,3.5
Alex DeBrincat\\debrial01,Alex DeBrincat,1.3,1.7,41,37,-3.1
Jake Debrusk\\debruja01,Jake Debrusk,1.4,-0.3,26,21,2.4
Danny DeKeyser\\dekeyda01,Danny DeKeyser,-7.1,-9.6,0,8,-2.3
Michael Del Zotto\\delzomi01,Michael Del Zotto,-2.2,-2.8,9,33,-7.7
Dylan DeMelo\\demeldy01,Dylan DeMelo,6.7,7.4,9,42,5.1
